Player,Tkl,TklW,Blocks,Interceptions,Clr,season_name
Pierre-Emerick Aubameyang,31,19,39,14,16,2019-2020
David Luiz,28,16,42,32,133,2019-2020
Bernd Leno,0,0,0,0,9,2019-2020
Granit Xhaka,45,25,32,21,59,2019-2020
Nicolas Pépé,32,17,15,8,5,2019-2020
Alexandre Lacazette,31,16,14,7,15,2019-2020
Bukayo Saka,36,21,12,12,19,2019-2020
Mattéo Guendouzi,31,16,21,29,38,2019-2020
Sead Kolašinac,29,16,14,25,34,2019-2020
Sokratis Papastathopoulos,25,16,30,17,68,2019-2020
Dani Ceballos,45,23,14,32,16,2019-2020
Mesut Özil,17,8,4,5,1,2019-2020
Lucas Torreira,31,16,24,34,24,2019-2020
Ainsley Maitland-Niles,41,23,12,28,38,2019-2020
Shkodran Mustafi,17,10,10,18,72,2019-2020
Héctor Bellerín,20,13,20,19,27,2019-2020
Calum Chambers,26,10,13,16,43,2019-2020
Kieran Tierney,20,16,10,9,37,2019-2020
Joe Willock,25,16,16,4,11,2019-2020
Emiliano Martínez,0,0,0,0,1,2019-2020
Eddie Nketiah,7,5,9,2,5,2019-2020
Reiss Nelson,11,8,13,3,3,2019-2020
Gabriel Martinelli,20,15,15,3,8,2019-2020
Rob Holding,4,2,10,5,45,2019-2020
Nacho Monreal,1,1,3,3,10,2019-2020
Cédric Soares,8,6,3,3,4,2019-2020
Pablo Marí,2,1,0,1,10,2019-2020
Henrikh Mkhitaryan,0,0,3,0,1,2019-2020
Emile Smith Rowe,1,1,0,1,2,2019-2020
Bernd Leno,1,0,1,0,11,2020-2021
Bukayo Saka,25,16,21,25,24,2020-2021
Granit Xhaka,50,26,23,24,38,2020-2021
Rob Holding,43,20,37,24,120,2020-2021
Pierre-Emerick Aubameyang,12,8,18,7,17,2020-2021
Kieran Tierney,27,15,31,16,63,2020-2021
Héctor Bellerín,29,19,26,33,33,2020-2021
Gabriel Dos Santos,25,15,27,26,74,2020-2021
Alexandre Lacazette,18,10,20,12,13,2020-2021
Thomas Partey,44,21,17,23,18,2020-2021
Emile Smith Rowe,14,7,15,10,12,2020-2021
Dani Ceballos,37,22,23,35,14,2020-2021
Mohamed Elneny,14,6,11,24,20,2020-2021
David Luiz,12,9,16,16,50,2020-2021
Nicolas Pépé,20,15,16,12,19,2020-2021
Willian,13,7,13,8,8,2020-2021
Pablo Marí,15,9,8,9,30,2020-2021
Martin Ødegaard,9,3,2,2,5,2020-2021
Calum Chambers,7,3,6,10,37,2020-2021
Cédric Soares,12,8,6,8,16,2020-2021
Gabriel Martinelli,7,1,6,8,4,2020-2021
Ainsley Maitland-Niles,11,7,12,14,7,2020-2021
Eddie Nketiah,3,1,6,0,5,2020-2021
Mathew Ryan,0,0,0,0,1,2020-2021
Joe Willock,6,3,6,3,0,2020-2021
Sead Kolašinac,0,0,0,1,0,2020-2021
Reiss Nelson,1,0,0,1,1,2020-2021
Shkodran Mustafi,1,1,1,0,3,2020-2021
Rúnar Alex Rúnarsson,0,0,0,0,0,2020-2021
Bukayo Saka,40,21,28,22,23,2021-2022
Gabriel Dos Santos,50,30,34,13,112,2021-2022
Aaron Ramsdale,2,1,0,0,26,2021-2022
