Player,Touches,TouchesDefense,AttemptedTakeons,SuccessfulTakeons,SuccessfulTakeonsPercent,Carries,TotalCarryDistance,season_name
Pierre-Emerick Aubameyang,1233,26,38,17,44.7,727,4964,2019-2020
David Luiz,2106,331,8,5,62.5,1370,9179,2019-2020
Bernd Leno,1061,950,1,1,100,543,3095,2019-2020
Granit Xhaka,2193,125,32,25,78.1,1285,6390,2019-2020
Nicolas Pépé,1117,10,133,72,54.1,745,5947,2019-2020
Alexandre Lacazette,761,21,47,24,51.1,433,2029,2019-2020
Bukayo Saka,1048,35,55,32,58.2,602,3892,2019-2020
Mattéo Guendouzi,1385,70,43,24,55.8,864,5825,2019-2020
Sead Kolašinac,1202,61,21,16,76.2,631,3253,2019-2020
Sokratis Papastathopoulos,1215,185,5,5,100,739,3500,2019-2020
Dani Ceballos,1510,50,36,27,75,1012,6703,2019-2020
Mesut Özil,1009,7,22,16,72.7,591,3833,2019-2020
Lucas Torreira,1094,55,23,17,73.9,605,3024,2019-2020
Ainsley Maitland-Niles,1203,71,34,19,55.9,596,3219,2019-2020
Shkodran Mustafi,988,112,3,3,100,629,3439,2019-2020
Héctor Bellerín,846,34,31,18,58.1,435,2426,2019-2020
Calum Chambers,1067,116,17,11,64.7,563,2500,2019-2020
Kieran Tierney,676,40,15,12,80,355,1728,2019-2020
Joe Willock,498,27,32,21,65.6,317,2210,2019-2020
Emiliano Martínez,309,271,0,0,0,183,931,2019-2020
Eddie Nketiah,218,8,17,10,58.8,153,866,2019-2020
Reiss Nelson,318,4,32,17,53.1,210,1479,2019-2020
Gabriel Martinelli,273,11,32,9,28.1,168,1409,2019-2020
Rob Holding,440,73,4,2,50,292,1320,2019-2020
Nacho Monreal,233,16,4,2,50,128,508,2019-2020
Cédric Soares,167,6,2,2,100,84,396,2019-2020
Pablo Marí,114,19,0,0,0,70,476,2019-2020
Henrikh Mkhitaryan,94,1,7,2,28.6,48,287,2019-2020
Emile Smith Rowe,46,2,3,2,66.7,32,241,2019-2020
Bernd Leno,1239,1019,0,0,0,711,3158,2020-2021
Bukayo Saka,1503,39,87,46,52.9,905,5219,2020-2021
Granit Xhaka,2440,96,16,8,50,1532,7624,2020-2021
Rob Holding,2093,283,11,8,72.7,1350,6434,2020-2021
Pierre-Emerick Aubameyang,887,19,25,12,48,527,3138,2020-2021
Kieran Tierney,1742,95,30,16,53.3,975,5289,2020-2021
Héctor Bellerín,1527,55,25,12,48,811,3779,2020-2021
Gabriel Dos Santos,1759,210,6,5,83.3,1249,6992,2020-2021
Alexandre Lacazette,735,15,36,22,61.1,360,1378,2020-2021
Thomas Partey,1333,42,35,28,80,841,4386,2020-2021
Emile Smith Rowe,890,15,30,10,33.3,551,2941,2020-2021
Dani Ceballos,1482,61,38,26,68.4,964,6293,2020-2021
Mohamed Elneny,1119,59,7,4,57.1,756,3335,2020-2021
David Luiz,1143,129,4,3,75,766,5053,2020-2021
Nicolas Pépé,948,19,66,27,40.9,585,3520,2020-2021
Willian,912,9,18,13,72.2,539,3543,2020-2021
Pablo Marí,700,83,3,3,100,455,2154,2020-2021
Martin Ødegaard,598,6,17,13,76.5,388,2071,2020-2021
Calum Chambers,687,42,10,4,40,341,1596,2020-2021
Cédric Soares,542,21,11,5,45.5,274,1421,2020-2021
Gabriel Martinelli,256,7,25,13,52,157,1054,2020-2021
Ainsley Maitland-Niles,355,18,10,6,60,198,1018,2020-2021
Eddie Nketiah,153,5,12,7,58.3,82,418,2020-2021
Mathew Ryan,75,53,0,0,0,44,231,2020-2021
Joe Willock,136,8,9,4,44.4,81,524,2020-2021
Sead Kolašinac,69,2,0,0,0,31,110,2020-2021
Reiss Nelson,40,1,4,1,25,22,184,2020-2021
Shkodran Mustafi,55,5,0,0,0,43,348,2020-2021
Rúnar Alex Rúnarsson,13,10,0,0,0,5,26,2020-2021
Bukayo Saka,1631,29,102,43,42.2,1033,6525,2021-2022
Gabriel Dos Santos,2343,312,4,4,100,1554,8318,2021-2022
Aaron Ramsdale,1258,927,1,1,100,807,4165,2021-2022
Ben White,2145,220,20,10,50,1295,6680,2021-2022
Martin Ødegaard,1867,16,46,25,54.3,1133,5740,2021-2022
Granit Xhaka,1786,61,26,19,73.1,1030,4746,2021-2022
Thomas Partey,1447,62,43,35,81.4,807,3830,2021-2022
Kieran Tierney,1347,62,23,9,39.1,730,3752,2021-2022
Emile Smith Rowe,1025,19,53,32,60.4,636,3990,2021-2022
Gabriel Martinelli,898,25,79,45,57,554,4204,2021-2022
Alexandre Lacazette,638,4,33,19,57.6,349,1538,2021-2022
Takehiro Tomiyasu,1310,73,15,9,60,633,3064,2021-2022
Cédric Soares,1252,52,12,8,66.7,677,2841,2021-2022
Nuno Tavares,902,51,36,18,50,510,3094,2021-2022
Albert Sambi Lokonga,929,33,4,3,75,606,3394,2021-2022
Pierre-Emerick Aubameyang,319,2,7,2,28.6,142,779,2021-2022
Rob Holding,587,84,1,0,0,331,1150,2021-2022
Eddie Nketiah,358,8,30,14,46.7,210,1478,2021-2022
Mohamed Elneny,630,33,1,0,0,365,1508,2021-2022
Nicolas Pépé,508,12,44,19,43.2,285,1424,2021-2022
Bernd Leno,125,100,0,0,0,61,326,2021-2022
Ainsley Maitland-Niles,171,8,8,4,50,87,393,2021-2022
Pablo Marí,120,14,0,0,0,68,363,2021-2022
Calum Chambers,123,17,0,0,0,60,164,2021-2022
Sead Kolašinac,23,2,0,0,0,12,21,2021-2022
Folarin Balogun,22,1,2,0,0,8,22,2021-2022
Reiss Nelson,16,0,0,0,0,10,21,2021-2022
Aaron Ramsdale,1196,872,1,1,100,722,3934,2022-2023
Gabriel Dos Santos,2776,307,3,2,66.7,1746,8780,2022-2023
Bukayo Saka,1882,21,161,61,37.9,1191,8403,2022-2023
Martin Ødegaard,2100,27,83,48,57.8,1284,6930,2022-2023
Ben White,2532,103,29,8,27.6,1448,6506,2022-2023
Granit Xhaka,1891,84,28,15,53.6,1113,4243,2022-2023
Gabriel Martinelli,1490,19,132,59,44.7,1019,7180,2022-2023
Thomas Partey,2267,78,45,35,77.8,1398,6866,2022-2023
William Saliba,2056,174,11,8,72.7,1323,6658,2022-2023
Oleksandr Zinchenko,2112,77,25,15,60,1263,6899,2022-2023
Gabriel Jesus,1080,26,111,44,39.6,642,3467,2022-2023
Leandro Trossard,567,9,26,15,57.7,374,2386,2022-2023
Eddie Nketiah,407,10,34,15,44.1,259,1682,2022-2023
Jorginho,807,27,10,3,30,523,2399,2022-2023
Kieran Tierney,579,23,12,3,25,316,1802,2022-2023
Takehiro Tomiyasu,557,26,4,1,25,311,1380,2022-2023
Rob Holding,499,58,1,1,100,319,1466,2022-2023
Jakub Kiwior,248,31,1,1,100,141,530,2022-2023
Fabio Vieira,356,6,18,6,33.3,215,868,2022-2023
Albert Sambi Lokonga,154,6,2,1,50,96,393,2022-2023
Mohamed Elneny,63,2,0,0,0,38,134,2022-2023
Reiss Nelson,157,5,9,7,77.8,99,710,2022-2023
Emile Smith Rowe,102,1,5,2,40,68,303,2022-2023
Cédric Soares,27,2,0,0,0,14,87,2022-2023
Marquinhos,3,0,0,0,0,2,6,2022-2023
Ethan Nwaneri,1,0,0,0,0,0,0,2022-2023
William Saliba,2010,154,5,2,40,1337,5980,2023-2024
Declan Rice,1881,81,24,13,54.2,1244,7424,2023-2024
Bukayo Saka,1365,20,88,33,37.5,885,5077,2023-2024
Martin Ødegaard,1426,12,41,19,46.3,971,4922,2023-2024
Ben White,1579,69,14,6,42.9,889,3222,2023-2024
Gabriel Dos Santos,1477,182,4,1,25,901,3699,2023-2024
Gabriel Martinelli,944,4,88,32,36.4,655,4405,2023-2024
David Raya,646,448,0,0,0,437,1979,2023-2024
Oleksandr Zinchenko,1456,35,12,7,58.3,852,3943,2023-2024
Kai Havertz,727,17,24,8,33.3,393,1798,2023-2024
Gabriel Jesus,564,11,50,25,50,372,1998,2023-2024
Eddie Nketiah,333,4,28,8,28.6,213,1101,2023-2024
Leandro Trossard,512,6,23,11,47.8,323,1806,2023-2024
Takehiro Tomiyasu,537,17,7,4,57.1,341,1493,2023-2024
Jorginho,460,11,3,1,33.3,280,884,2023-2024
Aaron Ramsdale,158,113,0,0,0,107,564,2023-2024
Jakub Kiwior,340,13,0,0,0,177,669,2023-2024
Thomas Partey,272,4,8,6,75,180,870,2023-2024
Fabio Vieira,143,2,8,2,25,93,449,2023-2024
Emile Smith Rowe,151,0,4,2,50,90,449,2023-2024
Jurriën Timber,51,0,0,0,0,39,127,2023-2024
Reiss Nelson,108,6,6,0,0,74,409,2023-2024
Mohamed Elneny,41,1,0,0,0,25,148,2023-2024
Ethan Nwaneri,20,0,1,0,0,16,123,2023-2024
Cédric Soares,10,0,0,0,0,7,13,2023-2024
