Player,Goals,Shots,ShotsonTarget,ShotsonTargetPercent,Shots_Per90,ShotsonTarget_Per90,GoalsPerShot,GoalsPerShotsonTarget,ShotDistance,xG,season_name
Pierre-Emerick Aubameyang,22,91,40,44,2.61,1.15,0.22,0.5,15.5,14.7,2019-2020
David Luiz,2,23,8,34.8,0.74,0.26,0.09,0.25,20.4,1.6,2019-2020
Bernd Leno,0,0,0,0,0,0,0,0,0,0,2019-2020
Granit Xhaka,1,11,3,27.3,0.38,0.1,0.09,0.33,23,0.5,2019-2020
Nicolas Pépé,5,49,17,34.7,2.19,0.76,0.08,0.24,20,4.9,2019-2020
Alexandre Lacazette,10,52,26,50,2.5,1.25,0.19,0.38,12.6,8.1,2019-2020
Bukayo Saka,1,13,4,30.8,0.67,0.21,0.08,0.25,17.9,1,2019-2020
Mattéo Guendouzi,0,11,5,45.5,0.57,0.26,0,0,22.2,0.8,2019-2020
Sead Kolašinac,0,4,0,0,0.21,0,0,0,12.2,0.4,2019-2020
Sokratis Papastathopoulos,2,7,2,28.6,0.37,0.11,0.29,1,9.9,1.1,2019-2020
Dani Ceballos,0,13,3,23.1,0.69,0.16,0,0,22.8,0.6,2019-2020
Mesut Özil,1,9,3,33.3,0.56,0.19,0.11,0.33,14.2,1.4,2019-2020
Lucas Torreira,1,21,6,28.6,1.25,0.36,0.05,0.17,18.8,1.4,2019-2020
Ainsley Maitland-Niles,0,4,1,25,0.26,0.06,0,0,18,0.4,2019-2020
Shkodran Mustafi,0,11,3,27.3,0.82,0.22,0,0,9.4,0.9,2019-2020
Héctor Bellerín,1,7,2,28.6,0.54,0.16,0.14,0.5,16.9,0.4,2019-2020
Calum Chambers,1,12,2,16.7,0.98,0.16,0.08,0.5,12,0.8,2019-2020
Kieran Tierney,1,6,2,33.3,0.55,0.18,0.17,0.5,20.6,0.2,2019-2020
Joe Willock,1,15,4,26.7,1.58,0.42,0.07,0.25,16.7,1.6,2019-2020
Emiliano Martínez,0,0,0,0,0,0,0,0,0,0,2019-2020
Eddie Nketiah,2,15,5,33.3,2.13,0.71,0.13,0.4,12.2,3.1,2019-2020
Reiss Nelson,1,11,4,36.4,1.57,0.57,0.09,0.25,17.4,0.9,2019-2020
Gabriel Martinelli,3,12,5,41.7,1.63,0.68,0.25,0.6,12.9,2.2,2019-2020
Rob Holding,0,2,0,0,0.31,0,0,0,6.3,0.2,2019-2020
Nacho Monreal,0,1,0,0,0.33,0,0,0,9.8,0,2019-2020
Cédric Soares,1,1,1,100,0.36,0.36,1,1,26.4,0,2019-2020
Pablo Marí,0,0,0,0,0,0,0,0,0,0,2019-2020
Henrikh Mkhitaryan,0,2,0,0,1.61,0,0,0,13.5,0.3,2019-2020
Emile Smith Rowe,0,0,0,0,0,0,0,0,0,0,2019-2020
Bernd Leno,0,0,0,0,0,0,0,0,0,0,2020-2021
Bukayo Saka,5,61,20,32.8,2.15,0.71,0.08,0.25,16.1,6.9,2020-2021
Granit Xhaka,1,21,7,33.3,0.75,0.25,0.05,0.14,27.1,0.9,2020-2021
Rob Holding,0,14,2,14.3,0.49,0.07,0,0,12.8,1,2020-2021
Pierre-Emerick Aubameyang,10,55,19,34.5,2.12,0.73,0.15,0.42,14,10.2,2020-2021
Kieran Tierney,1,15,3,20,0.59,0.12,0.07,0.33,24,0.5,2020-2021
Héctor Bellerín,1,15,5,33.3,0.65,0.22,0.07,0.2,20.3,0.8,2020-2021
Gabriel Dos Santos,2,16,4,25,0.72,0.18,0.13,0.5,12.6,1.3,2020-2021
Alexandre Lacazette,13,42,25,59.5,1.97,1.17,0.24,0.4,14.9,11.7,2020-2021
Thomas Partey,0,26,4,15.4,1.53,0.23,0,0,27.1,1.3,2020-2021
Emile Smith Rowe,2,13,4,30.8,0.81,0.25,0.15,0.5,17.8,1.8,2020-2021
Dani Ceballos,0,13,2,15.4,0.72,0.11,0,0,21.7,0.6,2020-2021
Mohamed Elneny,1,9,2,22.2,0.52,0.12,0.11,0.5,21.5,0.4,2020-2021
David Luiz,1,15,2,13.3,0.97,0.13,0.07,0.5,19,0.9,2020-2021
