Player,Position,MatchesPlayed,Starts,MinutesPlayed,Goals,Assists,GoalContribution,NonPenaltyGoals,PenaltyScored,YellowCard,RedCard,xG,xAG,ProgressiveCarries,ProgressivePasses,ProgressivePassesRecevied,Goals_Per90,Assists_Per90,GoalContribution_Per90,xG_Per90,xAG_Per90,season_name
Pierre-Emerick Aubameyang,FW,36,35,3136,22,3,25,20,2,3,1,14.7,3.3,98,81,288,0.63,0.09,0.72,0.42,0.09,2019-2020
David Luiz,DF,33,32,2809,2,1,3,2,0,5,2,1.6,0.9,21,106,4,0.06,0.03,0.1,0.05,0.03,2019-2020
Bernd Leno,GK,30,30,2649,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2019-2020
Granit Xhaka,MF,31,30,2586,1,2,3,1,0,10,0,0.5,1,38,237,33,0.03,0.07,0.1,0.02,0.03,2019-2020
Nicolas Pépé,FW,31,22,2010,5,6,11,4,1,4,0,4.9,4.8,98,67,191,0.22,0.27,0.49,0.22,0.21,2019-2020
Alexandre Lacazette,FW,30,22,1874,10,4,14,10,0,8,0,8.1,2.9,21,49,137,0.48,0.19,0.67,0.39,0.14,2019-2020
Bukayo Saka,"DF,FW",26,19,1753,1,5,6,1,0,6,0,1,3.3,67,67,143,0.05,0.26,0.31,0.05,0.17,2019-2020
Mattéo Guendouzi,MF,24,19,1748,0,1,1,0,0,6,0,0.8,1.1,50,160,27,0,0.05,0.05,0.04,0.06,2019-2020
Sead Kolašinac,DF,26,19,1701,0,2,2,0,0,4,0,0.4,1.3,36,74,88,0,0.11,0.11,0.02,0.07,2019-2020
Sokratis Papastathopoulos,DF,19,19,1696,2,0,2,2,0,6,0,1.1,0.3,5,27,5,0.11,0,0.11,0.06,0.01,2019-2020
Dani Ceballos,MF,24,18,1692,0,2,2,0,0,1,0,0.6,1.8,60,174,38,0,0.11,0.11,0.03,0.09,2019-2020
Mesut Özil,MF,18,18,1438,1,2,3,1,0,1,0,1.4,2.3,48,114,136,0.06,0.13,0.19,0.09,0.15,2019-2020
Lucas Torreira,MF,29,17,1512,1,1,2,1,0,7,0,1.4,0.8,13,83,20,0.06,0.06,0.12,0.08,0.05,2019-2020
Ainsley Maitland-Niles,DF,20,15,1386,0,2,2,0,0,6,1,0.4,1.5,38,61,34,0,0.13,0.13,0.03,0.1,2019-2020
Shkodran Mustafi,DF,15,13,1207,0,1,1,0,0,2,0,0.9,0.4,7,61,6,0,0.07,0.07,0.07,0.03,2019-2020
Héctor Bellerín,"DF,MF",15,13,1158,1,0,1,1,0,2,0,0.4,0.4,34,58,70,0.08,0,0.08,0.03,0.03,2019-2020
Calum Chambers,DF,14,13,1102,1,1,2,1,0,5,0,0.8,1.6,16,45,67,0.08,0.08,0.16,0.06,0.13,2019-2020
Kieran Tierney,"DF,MF",15,12,989,1,1,2,1,0,2,0,0.2,1,26,34,67,0.09,0.09,0.18,0.02,0.09,2019-2020
Joe Willock,"MF,FW",29,8,857,1,1,2,1,0,2,0,1.6,1.1,39,41,51,0.11,0.11,0.21,0.17,0.11,2019-2020
Emiliano Martínez,GK,9,8,771,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2019-2020
Eddie Nketiah,FW,13,7,633,2,0,2,2,0,0,1,3.1,0.6,19,16,38,0.28,0,0.28,0.45,0.08,2019-2020
Reiss Nelson,FW,17,7,631,1,0,1,1,0,1,0,0.9,0.4,30,20,58,0.14,0,0.14,0.13,0.06,2019-2020
Gabriel Martinelli,FW,14,6,663,3,0,3,3,0,1,0,2.2,0.1,31,12,65,0.41,0,0.41,0.29,0.01,2019-2020
Rob Holding,DF,8,6,581,0,0,0,0,0,1,0,0.2,0,3,16,1,0,0,0,0.03,0,2019-2020
Nacho Monreal,DF,3,3,270,0,0,0,0,0,0,0,0,0.3,4,12,14,0,0,0,0.01,0.11,2019-2020
Cédric Soares,"MF,DF",5,3,249,1,0,1,1,0,0,0,0,0,6,11,25,0.36,0,0.36,0.01,0.01,2019-2020
Pablo Marí,DF,2,2,113,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2019-2020
Henrikh Mkhitaryan,FW,3,1,112,0,0,0,0,0,1,0,0.3,0.3,3,8,19,0,0,0,0.26,0.21,2019-2020
Emile Smith Rowe,MF,2,1,97,0,0,0,0,0,0,0,0,0,4,2,5,0,0,0,0,0,2019-2020
Tyreece John-Jules,FW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020
Matt Macey,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020
Konstantinos Mavropanos,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020
Zech Medley,DF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020
Matthew Smith,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-2020
Bernd Leno,GK,35,35,3131,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2020-2021
Bukayo Saka,"FW,MF",32,30,2553,5,3,8,5,0,1,0,6.9,4.4,85,101,269,0.18,0.11,0.28,0.24,0.16,2020-2021
Granit Xhaka,"MF,DF",31,29,2522,1,2,3,1,0,7,1,0.9,1.5,41,276,31,0.04,0.07,0.11,0.03,0.05,2020-2021
Rob Holding,DF,30,28,2558,0,1,1,0,0,2,0,1,0.2,10,114,1,0,0.04,0.04,0.04,0.01,2020-2021
Pierre-Emerick Aubameyang,FW,29,26,2332,10,3,13,8,2,2,0,10.2,2.4,65,66,195,0.39,0.12,0.5,0.39,0.09,2020-2021
Kieran Tierney,DF,27,26,2299,1,3,4,1,0,4,0,0.5,3.5,82,95,194,0.04,0.12,0.16,0.02,0.14,2020-2021
Héctor Bellerín,"DF,MF",25,24,2089,1,2,3,1,0,8,0,0.8,2.4,46,108,142,0.04,0.09,0.13,0.03,0.1,2020-2021
Gabriel Dos Santos,DF,23,22,1996,2,0,2,2,0,4,1,1.3,0.1,18,80,8,0.09,0,0.09,0.06,0,2020-2021
Alexandre Lacazette,FW,31,22,1923,13,2,15,10,3,3,0,11.7,2.2,15,55,112,0.61,0.09,0.7,0.55,0.1,2020-2021
Thomas Partey,MF,24,18,1534,0,2,2,0,0,5,0,1.3,1,33,121,18,0,0.12,0.12,0.08,0.06,2020-2021
Emile Smith Rowe,"MF,FW",20,18,1440,2,4,6,2,0,0,0,1.8,3.4,51,68,113,0.12,0.25,0.37,0.11,0.21,2020-2021
Dani Ceballos,MF,25,17,1615,0,3,3,0,0,4,0,0.6,2.6,54,150,52,0,0.17,0.17,0.04,0.15,2020-2021
Mohamed Elneny,MF,23,17,1544,1,0,1,1,0,3,0,0.4,0.2,17,99,12,0.06,0,0.06,0.02,0.01,2020-2021
David Luiz,DF,20,17,1396,1,0,1,1,0,1,1,0.9,0.5,22,68,3,0.06,0,0.06,0.06,0.03,2020-2021
Nicolas Pépé,FW,29,16,1616,10,1,11,9,1,1,1,5.8,1,56,45,199,0.56,0.06,0.61,0.32,0.05,2020-2021
Willian,FW,25,16,1406,1,5,6,1,0,0,0,1.9,3,51,78,119,0.06,0.32,0.38,0.12,0.19,2020-2021
Pablo Marí,DF,10,10,900,0,0,0,0,0,2,0,0.1,0.3,4,21,0,0,0,0,0.01,0.03,2020-2021
Martin Ødegaard,MF,14,9,866,1,2,3,1,0,0,0,0.7,2,16,65,49,0.1,0.21,0.31,0.08,0.21,2020-2021
Calum Chambers,DF,10,8,753,0,2,2,0,0,0,0,0.4,1.1,16,40,49,0,0.24,0.24,0.05,0.13,2020-2021
Cédric Soares,DF,10,8,746,0,1,1,0,0,1,0,0.3,0.9,21,46,40,0,0.12,0.12,0.03,0.11,2020-2021
Gabriel Martinelli,FW,14,7,589,2,1,3,2,0,0,0,3.3,1.8,23,8,62,0.31,0.15,0.46,0.5,0.27,2020-2021
Ainsley Maitland-Niles,"MF,DF",11,5,490,0,0,0,0,0,0,0,0.1,0.1,12,24,21,0,0,0,0.01,0.02,2020-2021
Eddie Nketiah,FW,17,4,423,2,1,3,2,0,0,0,1.8,0.6,6,6,29,0.43,0.21,0.64,0.38,0.14,2020-2021
Mathew Ryan,GK,3,3,270,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0.02,2020-2021
Joe Willock,MF,7,2,238,0,0,0,0,0,1,0,0.3,0.1,8,11,13,0,0,0,0.1,0.02,2020-2021
Sead Kolašinac,DF,1,1,90,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,0,0,2020-2021
Reiss Nelson,"FW,MF",2,0,71,0,0,0,0,0,0,0,0.1,0,4,4,6,0,0,0,0.08,0,2020-2021
Shkodran Mustafi,DF,3,0,47,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,2020-2021
Rúnar Alex Rúnarsson,GK,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021
Miguel Azeez,MF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021
Matt Macey,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-2021
Bukayo Saka,"FW,MF",38,36,2978,11,7,18,9,2,6,0,10.3,7.5,140,101,388,0.33,0.21,0.54,0.31,0.23,2021-2022
Gabriel Dos Santos,DF,35,35,3063,5,0,5,5,0,8,1,3.2,0.7,12,110,9,0.15,0,0.15,0.09,0.02,2021-2022
Aaron Ramsdale,GK,34,34,3060,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2021-2022
Ben White,DF,32,32,2880,0,0,0,0,0,3,0,1,1.3,38,124,4,0,0,0,0.03,0.04,2021-2022
