PlayerName,Ratings,Season_name
Pierre-Emerick Aubameyang,7.03,2019-2020
Nicolas Pépé,6.92,2019-2020
Daniel Ceballos,6.79,2019-2020
Granit Xhaka,6.77,2019-2020
Alexandre Lacazette,6.72,2019-2020
Bernd Leno,6.69,2019-2020
Cédric Soares,6.69,2019-2020
Matteo Guendouzi,6.68,2019-2020
Sokratis Papastathopoulos,6.66,2019-2020
Ainsley Maitland-Niles,6.62,2019-2020
Lucas Torreira,6.59,2019-2020
Bukayo Saka,6.58,2019-2020
Sead Kolasinac,6.58,2019-2020
David Luiz,6.46,2019-2020
Joseph Willock,6.3,2019-2020
Emile Smith Rowe,7.04,2020-2021
Daniel Ceballos,7.04,2020-2021
Thomas Partey,7.02,2020-2021
Bukayo Saka,6.9,2020-2021
Pierre-Emerick Aubameyang,6.9,2020-2021
Alexandre Lacazette,6.88,2020-2021
Granit Xhaka,6.87,2020-2021
Hector Bellerin,6.83,2020-2021
Gabriel,6.81,2020-2021
Nicolas Pépé,6.81,2020-2021
Willian,6.78,2020-2021
Rob Holding,6.77,2020-2021
Kieran Tierney,6.76,2020-2021
Mohamed Elneny,6.63,2020-2021
Bernd Leno,6.38,2020-2021
Bukayo Saka,7.35,2021-2022
Thomas Partey,7.33,2021-2022
Martin Ødegaard,7.22,2021-2022
Gabriel,7.13,2021-2022
Kieran Tierney,7.11,2021-2022
Gabriel Martinelli,7.09,2021-2022
Granit Xhaka,7.07,2021-2022
Takehiro Tomiyasu,7.04,2021-2022
Emile Smith Rowe,7.03,2021-2022
Ben White,7.01,2021-2022
Alexandre Lacazette,6.88,2021-2022
Cédric Soares,6.77,2021-2022
Aaron Ramsdale,6.71,2021-2022
Bukayo Saka,7.68,2022-2023
Martin Ødegaard,7.65,2022-2023
Thomas Partey,7.61,2022-2023
Granit Xhaka,7.43,2022-2023
Gabriel Martinelli,7.42,2022-2023
Gabriel Jesus,7.42,2022-2023
Oleksandr Zinchenko,7.27,2022-2023
William Saliba,7.25,2022-2023
Jorginho,7.2,2022-2023
Gabriel,7.16,2022-2023
Ben White,7.16,2022-2023
Leandro Trossard,7.13,2022-2023
Aaron Ramsdale,6.75,2022-2023
Edward Nketiah,6.59,2022-2023
Kieran Tierney,6.52,2022-2023
Bukayo Saka,8.04,2023-2024
Declan Rice,7.62,2023-2024
Martin Ødegaard,7.6,2023-2024
Oleksandr Zinchenko,7.34,2023-2024
Gabriel,7.25,2023-2024
Gabriel Martinelli,7.24,2023-2024
William Saliba,7.2,2023-2024
Gabriel Jesus,7.18,2023-2024
Ben White,7.14,2023-2024
Kai Havertz,6.94,2023-2024
Leandro Trossard,6.92,2023-2024
David Raya,6.87,2023-2024
Takehiro Tomiyasu,6.81,2023-2024
Edward Nketiah,6.71,2023-2024
