Nationality
National Team: Germany de
National Team: Argentina ar
Citizenship: England eng
National Team: Brazil br
National Team: Greece gr
National Team: England eng
National Team: Bosnia and Herzegovina ba
National Team: Spain es
National Team: Scotland sct
Youth National Team: England eng
National Team: Portugal pt
Citizenship: Spain es
National Team: Switzerland ch
National Team: France fr
National Team: Uruguay uy
Youth National Team: Wales wls
National Team: Gabon ga
National Team: Côte d'Ivoire ci
National Team: Armenia am
Citizenship: United States us
National Team: Germany de
National Team: Iceland is
National Team: Australia au
National Team: Argentina ar
Citizenship: England eng
National Team: Estonia ee
Youth National Team: England eng
National Team: Scotland sct
National Team: Brazil br
National Team: Spain es
National Team: Portugal pt
Citizenship: Spain es
National Team: England eng
National Team: Bosnia and Herzegovina ba
Youth National Team: Spain es
National Team: France fr
National Team: Switzerland ch
National Team: Egypt eg
National Team: Ghana gh
National Team: Gabon ga
National Team: Côte d'Ivoire ci
National Team: Norway no
Citizenship: United States us
National Team: England eng
National Team: Germany de
National Team: Estonia ee
Citizenship: England eng
National Team: Brazil br
National Team: Scotland sct
National Team: Portugal pt
National Team: Japan jp
Youth National Team: Portugal pt
Youth National Team: England eng
National Team: Bosnia and Herzegovina ba
Citizenship: Spain es
National Team: Spain es
National Team: Switzerland ch
National Team: Ghana gh
National Team: Belgium be
National Team: Egypt eg
National Team: Mexico mx
Citizenship: Netherlands nl
National Team: Norway no
National Team: France fr
National Team: Gabon ga
National Team: Côte d'Ivoire ci
Citizenship: United States us
Youth National Team: Denmark dk
National Team: England eng
National Team: United States us
National Team: Estonia ee
Citizenship: England eng
National Team: Brazil br
National Team: France fr
National Team: Ukraine ua
National Team: Scotland sct
Youth National Team: England eng
National Team: Japan jp
National Team: Poland pl
National Team: Portugal pt
National Team: Switzerland ch
National Team: Ghana gh
Youth National Team: Portugal pt
National Team: Italy it
National Team: Belgium be
National Team: Egypt eg
Citizenship: Portugal pt
Youth National Team: Romania ro
National Team: Norway no
Youth National Team: Brazil br
National Team: Côte d'Ivoire ci
National Team: Spain es
National Team: England eng
National Team: Estonia ee
National Team: United States us
National Team: France fr
National Team: Brazil br
National Team: Ukraine ua
National Team: Japan jp
National Team: Poland pl
National Team: Netherlands nl
National Team: Portugal pt
National Team: Scotland sct
Youth National Team: England eng
National Team: Italy it
Youth National Team: Portugal pt
National Team: Ghana gh
National Team: Egypt eg
Citizenship: Portugal pt
Citizenship: England eng
Citizenship: Wales wls
National Team: Norway no
National Team: Germany de
National Team: Belgium be
