ShirtNumber,PlayerName,Position,season_name
1,Bernd Leno,Goalkeeper,2019-2020
33,Matt Macey,Goalkeeper,2019-2020
5,Sokratis Papastathopoulos,Centre-Back,2019-2020
23,David Luiz,Centre-Back,2019-2020
22,Pablo Marí,Centre-Back,2019-2020
-,Zechariah Medley,Centre-Back,2019-2020
-,Nacho Monreal,Left-Back,2019-2020
2,Héctor Bellerín,Right-Back,2019-2020
17,Cédric Soares,Right-Back,2019-2020
34,Granit Xhaka,Defensive Midfield,2019-2020
8,Dani Ceballos,Central Midfield,2019-2020
28,Joe Willock,Central Midfield,2019-2020
-,Robbie Burton,Central Midfield,2019-2020
-,Matt Smith,Central Midfield,2019-2020
-,Emile Smith Rowe,Attacking Midfield,2019-2020
19,Nicolas Pépé,Right Winger,2019-2020
24,Reiss Nelson,Right Winger,2019-2020
9,Alexandre Lacazette,Centre-Forward,2019-2020
-,Tyreece John-Jules,Centre-Forward,2019-2020
26,Emiliano Martínez,Goalkeeper,2019-2020
31,Sead Kolasinac,Centre-Back,2019-2020
20,Shkodran Mustafi,Centre-Back,2019-2020
16,Rob Holding,Centre-Back,2019-2020
-,Konstantinos Mavropanos,Centre-Back,2019-2020
3,Kieran Tierney,Left-Back,2019-2020
-,Tolaji Bola,Left-Back,2019-2020
21,Calum Chambers,Right-Back,2019-2020
11,Lucas Torreira,Defensive Midfield,2019-2020
29,Mattéo Guendouzi,Central Midfield,2019-2020
-,Henrikh Mkhitaryan,Central Midfield,2019-2020
15,Ainsley Maitland-Niles,Central Midfield,2019-2020
-,James Olayinka,Central Midfield,2019-2020
10,Mesut Özil,Attacking Midfield,2019-2020
35,Gabriel Martinelli,Left Winger,2019-2020
77,Bukayo Saka,Right Winger,2019-2020
14,Pierre-Emerick Aubameyang,Centre-Forward,2019-2020
30,Eddie Nketiah,Centre-Forward,2019-2020
-,Folarin Balogun,Centre-Forward,2019-2020
26,Emiliano Martínez,Goalkeeper,2020-2021
33,Mathew Ryan,Goalkeeper,2020-2021
44,Karl Hein,Goalkeeper,2020-2021
46,Dejan Iliev,Goalkeeper,2020-2021
53,Arthur Okonkwo,Goalkeeper,2020-2021
4,William Saliba,Centre-Back,2020-2021
22,Pablo Marí,Centre-Back,2020-2021
23,David Luiz,Centre-Back,2020-2021
3,Kieran Tierney,Left-Back,2020-2021
2,Héctor Bellerín,Right-Back,2020-2021
17,Cédric Soares,Right-Back,2020-2021
34,Granit Xhaka,Defensive Midfield,2020-2021
8,Dani Ceballos,Central Midfield,2020-2021
28,Joe Willock,Central Midfield,2020-2021
41,Ben Cottrell,Central Midfield,2020-2021
11,Martin Ødegaard,Attacking Midfield,2020-2021
35,Gabriel Martinelli,Left Winger,2020-2021
7,Bukayo Saka,Right Winger,2020-2021
24,Reiss Nelson,Right Winger,2020-2021
14,Pierre-Emerick Aubameyang,Centre-Forward,2020-2021
38,Folarin Balogun,Centre-Forward,2020-2021
1,Bernd Leno,Goalkeeper,2020-2021
13,Rúnar Alex Rúnarsson,Goalkeeper,2020-2021
-,Matt Macey,Goalkeeper,2020-2021
45,James Hillson,Goalkeeper,2020-2021
6,Gabriel Magalhães,Centre-Back,2020-2021
16,Rob Holding,Centre-Back,2020-2021
31,Sead Kolasinac,Centre-Back,2020-2021
20,Shkodran Mustafi,Centre-Back,2020-2021
49,Joel López,Left-Back,2020-2021
21,Calum Chambers,Right-Back,2020-2021
18,Thomas Partey,Defensive Midfield,2020-2021
25,Mohamed Elneny,Defensive Midfield,2020-2021
15,Ainsley Maitland-Niles,Central Midfield,2020-2021
66,Miguel Azeez,Central Midfield,2020-2021
54,James Olayinka,Central Midfield,2020-2021
32,Emile Smith Rowe,Attacking Midfield,2020-2021
12,Willian,Left Winger,2020-2021
19,Nicolas Pépé,Right Winger,2020-2021
9,Alexandre Lacazette,Centre-Forward,2020-2021
30,Eddie Nketiah,Centre-Forward,2020-2021
47,Tyreece John-Jules,Centre-Forward,2020-2021
32,Aaron Ramsdale,Goalkeeper,2021-2022
33,Arthur Okonkwo,Goalkeeper,2021-2022
6,Gabriel Magalhães,Centre-Back,2021-2022
22,Pablo Marí,Centre-Back,2021-2022
54,Alex Kirk,Centre-Back,2021-2022
75,Zach Awe,Centre-Back,2021-2022
20,Nuno Tavares,Left-Back,2021-2022
18,Takehiro Tomiyasu,Right-Back,2021-2022
21,Calum Chambers,Right-Back,2021-2022
37,Ryan Alebiosu,Right-Back,2021-2022
5,Thomas Partey,Defensive Midfield,2021-2022
25,Mohamed Elneny,Defensive Midfield,2021-2022
15,Ainsley Maitland-Niles,Central Midfield,2021-2022
38,Miguel Azeez,Central Midfield,2021-2022
8,Martin Ødegaard,Attacking Midfield,2021-2022
11,Gabriel Martinelli,Left Winger,2021-2022
7,Bukayo Saka,Right Winger,2021-2022
24,Reiss Nelson,Right Winger,2021-2022
14,Eddie Nketiah,Centre-Forward,2021-2022
9,Alexandre Lacazette,Centre-Forward,2021-2022
58,Mika Biereth,Centre-Forward,2021-2022
1,Bernd Leno,Goalkeeper,2021-2022
49,Karl Hein,Goalkeeper,2021-2022
16,Rob Holding,Centre-Back,2021-2022
31,Sead Kolasinac,Centre-Back,2021-2022
61,Mazeed Ogungbo,Centre-Back,2021-2022
3,Kieran Tierney,Left-Back,2021-2022
4,Ben White,Right-Back,2021-2022
2,Héctor Bellerín,Right-Back,2021-2022
17,Cédric Soares,Right-Back,2021-2022
69,Zak Swanson,Right-Back,2021-2022
34,Granit Xhaka,Defensive Midfield,2021-2022
23,Albert Sambi Lokonga,Central Midfield,2021-2022
87,Charlie Patino,Central Midfield,2021-2022
65,Salah-Eddine Oulad M'Hand,Central Midfield,2021-2022
10,Emile Smith Rowe,Attacking Midfield,2021-2022
78,Marcelo Flores,Left Winger,2021-2022
19,Nicolas Pépé,Right Winger,2021-2022
82,Omari Hutchinson,Right Winger,2021-2022
-,Pierre-Emerick Aubameyang,Centre-Forward,2021-2022
26,Folarin Balogun,Centre-Forward,2021-2022
1,Aaron Ramsdale,Goalkeeper,2022-2023
-,Karl Hein,Goalkeeper,2022-2023
12,William Saliba,Centre-Back,2022-2023
15,Jakub Kiwior,Centre-Back,2022-2023
16,Rob Holding,Centre-Back,2022-2023
35,Oleksandr Zinchenko,Left-Back,2022-2023
-,Lino Sousa,Left-Back,2022-2023
18,Takehiro Tomiyasu,Right-Back,2022-2023
5,Thomas Partey,Defensive Midfield,2022-2023
34,Granit Xhaka,Defensive Midfield,2022-2023
-,Bradley Ibrahim,Defensive Midfield,2022-2023
-,Ainsley Maitland-Niles,Central Midfield,2022-2023
-,C?t?lin Cîrjan,Central Midfield,2022-2023
8,Martin Ødegaard,Attacking Midfield,2022-2023
21,Fábio Vieira,Attacking Midfield,2022-2023
11,Gabriel Martinelli,Left Winger,2022-2023
-,Charles Sagoe Jr,Left Winger,2022-2023
-,Nicolas Pépé,Right Winger,2022-2023
24,Reiss Nelson,Right Winger,2022-2023
9,Gabriel Jesus,Centre-Forward,2022-2023
-,Khayon Edwards,Centre-Forward,2022-2023
30,Matt Turner,Goalkeeper,2022-2023
-,James Hillson,Goalkeeper,2022-2023
6,Gabriel Magalhães,Centre-Back,2022-2023
-,Auston Trusty,Centre-Back,2022-2023
-,Reuell Walters,Centre-Back,2022-2023
3,Kieran Tierney,Left-Back,2022-2023
4,Ben White,Right-Back,2022-2023
-,Cédric Soares,Right-Back,2022-2023
20,Jorginho,Defensive Midfield,2022-2023
25,Mohamed Elneny,Defensive Midfield,2022-2023
-,Albert Sambi Lokonga,Central Midfield,2022-2023
-,Matt Smith,Central Midfield,2022-2023
-,Mauro Bandeira,Central Midfield,2022-2023
10,Emile Smith Rowe,Attacking Midfield,2022-2023
-,Ethan Nwaneri,Attacking Midfield,2022-2023
19,Leandro Trossard,Left Winger,2022-2023
7,Bukayo Saka,Right Winger,2022-2023
-,Marquinhos,Right Winger,2022-2023
-,Amario Cozier-Duberry,Right Winger,2022-2023
14,Eddie Nketiah,Centre-Forward,2022-2023
-,Nathan Butler-Oyedeji,Centre-Forward,2022-2023
22,David Raya,Goalkeeper,2023-2024
31,Karl Hein,Goalkeeper,2023-2024
6,Gabriel Magalhães,Centre-Back,2023-2024
15,Jakub Kiwior,Centre-Back,2023-2024
4,Ben White,Right-Back,2023-2024
17,Cédric Soares,Right-Back,2023-2024
5,Thomas Partey,Defensive Midfield,2023-2024
25,Mohamed Elneny,Defensive Midfield,2023-2024
29,Kai Havertz,Attacking Midfield,2023-2024
10,Emile Smith Rowe,Attacking Midfield,2023-2024
19,Leandro Trossard,Left Winger,2023-2024
24,Reiss Nelson,Right Winger,2023-2024
9,Gabriel Jesus,Centre-Forward,2023-2024
1,Aaron Ramsdale,Goalkeeper,2023-2024
2,William Saliba,Centre-Back,2023-2024
12,Jurrien Timber,Centre-Back,2023-2024
35,Oleksandr Zinchenko,Left-Back,2023-2024
18,Takehiro Tomiyasu,Right-Back,2023-2024
41,Declan Rice,Defensive Midfield,2023-2024
20,Jorginho,Defensive Midfield,2023-2024
8,Martin Ødegaard,Attacking Midfield,2023-2024
21,Fábio Vieira,Attacking Midfield,2023-2024
11,Gabriel Martinelli,Left Winger,2023-2024
7,Bukayo Saka,Right Winger,2023-2024
27,Marquinhos,Right Winger,2023-2024
14,Eddie Nketiah,Centre-Forward,2023-2024
