Player,Nation,Pos,Age,Weekly Wages,season_name
Mesut Özil,de GER,MF,30.0,"£ 350,000 (€ 417,398, $425,327)",2019-2020
Pierre-Emerick Aubameyang,ga GAB,FW,30.0,"£ 250,000 (€ 298,141, $303,805)",2019-2020
Alexandre Lacazette,fr FRA,FW,28.0,"£ 182,115 (€ 217,184, $221,310)",2019-2020
Héctor Bellerín,es ESP,"DF,MF",24.0,"£ 110,000 (€ 131,182, $133,674)",2019-2020
David Luiz,br BRA,DF,32.0,"£ 100,962 (€ 120,403, $122,691)",2019-2020
Bernd Leno,de GER,GK,27.0,"£ 100,000 (€ 119,256, $121,522)",2019-2020
Sead Kolašinac,ba BIH,DF,26.0,"£ 100,000 (€ 119,256, $121,522)",2019-2020
Nicolas Pépé,ci CIV,FW,24.0,"£ 100,000 (€ 119,256, $121,522)",2019-2020
Granit Xhaka,ch SUI,MF,26.0,"£ 100,000 (€ 119,256, $121,522)",2019-2020
Sokratis Papastathopoulos,gr GRE,DF,31.0,"£ 91,923 (€ 109,624, $111,707)",2019-2020
Gabriel Martinelli,br BRA,FW,18.0,"£ 90,000 (€ 107,331, $109,370)",2019-2020
Shkodran Mustafi,de GER,DF,27.0,"£ 90,000 (€ 107,331, $109,370)",2019-2020
Pablo Marí,es ESP,DF,25.0,"£ 85,000 (€ 101,368, $103,294)",2019-2020
Kieran Tierney,sct SCO,"DF,MF",22.0,"£ 80,769 (€ 96,323, $98,152)",2019-2020
Lucas Torreira,uy URU,MF,23.0,"£ 75,000 (€ 89,442, $91,142)",2019-2020
Dani Ceballos,es ESP,MF,22.0,"£ 51,923 (€ 61,922, $63,098)",2019-2020
Calum Chambers,eng ENG,DF,24.0,"£ 50,000 (€ 59,628, $60,761)",2019-2020
Mattéo Guendouzi,fr FRA,MF,20.0,"£ 40,000 (€ 47,703, $48,609)",2019-2020
Ainsley Maitland-Niles,eng ENG,DF,21.0,"£ 35,000 (€ 41,740, $42,533)",2019-2020
Rob Holding,eng ENG,DF,23.0,"£ 25,000 (€ 29,814, $30,381)",2019-2020
Emiliano Martínez,ar ARG,GK,26.0,"£ 20,000 (€ 23,851, $24,304)",2019-2020
Joe Willock,eng ENG,"MF,FW",19.0,"£ 20,000 (€ 23,851, $24,304)",2019-2020
Eddie Nketiah,eng ENG,FW,20.0,"£ 15,000 (€ 17,888, $18,228)",2019-2020
Reiss Nelson,eng ENG,FW,19.0,"£ 15,000 (€ 17,888, $18,228)",2019-2020
Matt Macey,eng ENG,GK,24.0,"£ 10,000 (€ 11,926, $12,152)",2019-2020
Bukayo Saka,eng ENG,"DF,FW",17.0,"£ 10,000 (€ 11,926, $12,152)",2019-2020
Konstantinos Mavropanos,gr GRE,DF,21.0,"£ 6,923 (€ 8,256, $8,413)",2019-2020
Mesut Özil,de GER,,32.0,"£ 350,000 (€ 417,398, $425,327)",2020-2021
Pierre-Emerick Aubameyang,ga GAB,FW,31.0,"£ 250,000 (€ 298,141, $303,805)",2020-2021
Thomas Partey,gh GHA,MF,27.0,"£ 200,000 (€ 238,513, $243,044)",2020-2021
Alexandre Lacazette,fr FRA,FW,29.0,"£ 182,115 (€ 217,184, $221,310)",2020-2021
Willian,br BRA,FW,31.0,"£ 138,462 (€ 165,124, $168,261)",2020-2021
Héctor Bellerín,es ESP,"DF,MF",25.0,"£ 110,000 (€ 131,182, $133,674)",2020-2021
Kieran Tierney,sct SCO,DF,23.0,"£ 110,000 (€ 131,182, $133,674)",2020-2021
David Luiz,br BRA,DF,33.0,"£ 100,962 (€ 120,403, $122,691)",2020-2021
Bernd Leno,de GER,GK,28.0,"£ 100,000 (€ 119,256, $121,522)",2020-2021
Granit Xhaka,ch SUI,"MF,DF",27.0,"£ 100,000 (€ 119,256, $121,522)",2020-2021
Nicolas Pépé,ci CIV,FW,25.0,"£ 100,000 (€ 119,256, $121,522)",2020-2021
Sokratis Papastathopoulos,gr GRE,,32.0,"£ 91,923 (€ 109,624, $111,707)",2020-2021
Gabriel Martinelli,br BRA,FW,19.0,"£ 90,000 (€ 107,331, $109,370)",2020-2021
Pablo Marí,es ESP,DF,26.0,"£ 85,000 (€ 101,368, $103,294)",2020-2021
Cédric Soares,pt POR,DF,28.0,"£ 75,000 (€ 89,442, $91,142)",2020-2021
Dani Ceballos,es ESP,MF,23.0,"£ 51,923 (€ 61,922, $63,098)",2020-2021
Gabriel Dos Santos,br BRA,DF,22.0,"£ 50,000 (€ 59,628, $60,761)",2020-2021
Calum Chambers,eng ENG,DF,25.0,"£ 50,000 (€ 59,628, $60,761)",2020-2021
Mohamed Elneny,eg EGY,MF,28.0,"£ 50,000 (€ 59,628, $60,761)",2020-2021
Eddie Nketiah,eng ENG,FW,21.0,"£ 45,000 (€ 53,665, $54,685)",2020-2021
Ainsley Maitland-Niles,eng ENG,"MF,DF",22.0,"£ 35,000 (€ 41,740, $42,533)",2020-2021
Mathew Ryan,au AUS,GK,28.0,"£ 35,000 (€ 41,740, $42,533)",2020-2021
Bukayo Saka,eng ENG,"FW,MF",18.0,"£ 30,000 (€ 35,777, $36,457)",2020-2021
Rob Holding,eng ENG,DF,24.0,"£ 25,000 (€ 29,814, $30,381)",2020-2021
Joe Willock,eng ENG,MF,20.0,"£ 20,000 (€ 23,851, $24,304)",2020-2021
Reiss Nelson,eng ENG,"FW,MF",20.0,"£ 15,000 (€ 17,888, $18,228)",2020-2021
Rúnar Alex Rúnarsson,is ISL,GK,25.0,"£ 15,000 (€ 17,888, $18,228)",2020-2021
Emile Smith Rowe,eng ENG,"MF,FW",20.0,"£ 15,000 (€ 17,888, $18,228)",2020-2021
Matt Macey,eng ENG,GK,25.0,"£ 10,000 (€ 11,926, $12,152)",2020-2021
Dejan Iliev,mk MKD,,25.0,"£ 5,769 (€ 6,880, $7,011)",2020-2021
Thomas Partey,gh GHA,MF,28.0,"£ 200,000 (€ 238,513, $243,044)",2021-2022
Alexandre Lacazette,fr FRA,FW,30.0,"£ 182,115 (€ 217,184, $221,310)",2021-2022
Nicolas Pépé,ci CIV,"FW,MF",26.0,"£ 140,000 (€ 166,959, $170,131)",2021-2022
